Comment,Description,Designator,Footprint,LibRef,Quantity

"100nF","Capacitor MLCC","C1, C2, C3, C4, C7, C8, C10, C11, C15, C17, C18, C19, CBST1, CI3, CR","C0603_N","Capacitor","15"
"1uF","Capacitor MLCC","C5","C0603_N","Capacitor","1"
"22uF","Capacitor MLCC","C6, C16","C1210_N","Capacitor","2"
"T598D157M016ATE065","Polarized Cap","C13","2917 - Case D","Capacitor Polarized","1"
"2uF","Capacitor MLCC","C14","C0603_N","Capacitor","1"
"10uF 35V","Capacitor MLCC","CI1, CI2, FETs1_C12, FETs2_C12, FETs3_C12","C1210_N","Capacitor","5"
"22uF 10V","Capacitor MLCC","CO1, CO2","C1210_N","Capacitor","2"
"22pF","Capacitor MLCC","CX1, CX2","C0603_N","Capacitor","2"
"824521121","","D2, D3","DO214AC SMA","TVS, TVS Bidirectional","2"
"Diode","","D4, DU","SOD323F","Diode","2"
"PTC","PTC, Resettable Fuse","F1","C1206_N","PTC","1"
"PTC","PTC, Resettable Fuse","F2","1812","PTC","1"
"Ferrite","","FB1, FB5, FBA","R0603","Resistor","3"
"SBR5E60P5","","FETs1_D1, FETs2_D1, FETs3_D1","PowerDI5","Diode","3"
"LED","LED","FETs1_L4, FETs2_L4, FETs3_L4","LED 0603 Reverse","LED","3"
"VNL5030J","","FETs1_Q1, FETs2_Q1, FETs3_Q1","PowerSSO-12","VNL5030JTR","3"
"1k","","FETs1_R1, FETs2_R1, FETs3_R1, R4","YC164","Resistor Array - 4P","4"
"10k","","FETs1_R3, FETs2_R3, FETs3_R3, R5, R6","R0603","Resistor","5"
"1778696","","FETs1_X1, FETs2_X1, FETs3_X1","PTSM-2W-V-SMD","Connector 2W - TAB","3"
"0ZCM0020FF2G","PTC, Resettable Fuse","FU","PTC0603","PTC","1"
"9774015243R 9774080243R","","Hole1, Hole2, Hole3, Hole4","Insert-Thread-SMD-M2","Hole","4"
"Hole","","Hole5, Hole6, Hole7, Hole8","M2.5 HOLE","Hole","4"
"TPS54308","Buck Converter","IC1","SOT23","TPS54308","1"
"SRP7028","","L1","Inductor SRP7028","Inductor","1"
"TLMY1100-GS08","LED","L5, L6, L7, L8","LED 0603 Reverse","LED","4"
"SIA483DJ-479954","","Q2","SC70-6L","MOSFET P CH","1"
"330R","","R2","R0603","Resistor","1"
"4k7","","R7, R9","YC164","Resistor Array - 4P","2"
"10k","","R8, R10","YC164","Resistor Array - 4P","2"
"100k","","RFB1","R0603","Resistor","1"
"13k5","","RFB2","R0603","Resistor","1"
"R I2C","","RI1","YC164","Resistor Array - 4P","1"
"20021521-00010T1LF","","SWD1","Header 10P 50mil","SWD","1"
"DNP","","SWD2","SWD 5Pin SMD","SWD 5 Pin","1"
"ATSAMD21G18","","U1","QFN48_M","ATSAMD21G18","1"
"TXS0104E","","U2","QFN-14","TXS0104E","1"
"TPS70933","","U3","SOT23-5_N","XC6222","1"
"SN74LV4053ARGYR","","U4, U5","QFN16","SN74LV4053ARGYR","2"
"USB Micro","","USB","USB Micro","USB Micro","1"
"Connector 5W - TAB","","X2, X5","PTSM-5W-V-SMD","Connector 5W - TAB","2"
"LFXTAL050789","","X3","Crystal 0805","Crystal","1"
"1778706","","X4","PTSM-3W-V-SMD","Connector 3W - TAB","1"
"Header 10Pos 5x2","","X6","Header 5x2 SMD 2.54mm","Header 10Pos 5x2","1"
"Header 14Pos 7x2","","X9, X10","Header 7x2 SMD 2.54mm","Header 14Pos 7x2","2"
